City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,conceicao da barra,-18.5933,-39.7322,23.05,90,6,2.13,BR,1699675152
310,poronaysk,49.2167,143.1167,-2.68,71,100,8.3,RU,1699675304
311,gokceada,40.2011,25.909,17.97,85,43,5.76,TR,1699675304
312,hithadhoo,-0.6,73.0833,27.2,83,45,6.53,MV,1699675304
313,san luis de la loma,17.2706,-100.8939,26.34,87,48,1.2,MX,1699675304
314,san cristobal,7.7669,-72.225,21.1,98,92,1.31,VE,1699675305
315,rybinsk,58.0446,38.8426,3.51,94,87,1.34,RU,1699675305
316,qaqortoq,60.7167,-46.0333,-6.54,58,39,4.48,GL,1699675305
317,rosso,16.4986,-15.8153,24.13,27,22,3.79,SN,1699675305
318,alice springs,-23.7,133.8833,34.75,21,40,5.66,AU,1699675225
319,hadibu,12.65,54.0333,27.31,78,100,5.86,YE,1699675305
320,otjimbingwe,-22.35,16.1333,23.37,46,97,0.8,NA,1699675305
321,saudarkrokur,65.7461,-19.6394,-1.12,82,96,2.68,IS,1699675306
322,hirtshals,57.5881,9.9592,6.3,81,99,4.59,DK,1699675306
323,esmeraldas,-19.7625,-44.3139,24.48,53,47,2.2,BR,1699675306
324,forster,-32.1667,152.5167,25.77,68,1,9.88,AU,1699675306
325,klaksvik,62.2266,-6.589,5.51,72,27,6.53,FO,1699675306
326,al bardiyah,31.7561,25.0865,19.2,83,81,3.76,LY,1699675306
327,mont-laurier,46.5501,-75.4993,-1.21,97,17,1.44,CA,1699675307
328,laguna,38.421,-121.4238,14.62,60,0,1.54,US,1699675307
329,igarka,67.4667,86.5833,-5.85,95,100,6.33,RU,1699675307
330,esperanza,19.5847,-70.9849,24.27,88,86,1.79,DO,1699675307
331,floresta,-8.6011,-38.5686,24.4,60,1,5.85,BR,1699675058
332,pandan,14.0453,124.1694,29.53,71,100,3.57,PH,1699675307
333,la libertad,-2.2333,-80.9,22.81,81,100,4.15,EC,1699675307
334,afaahiti,-17.75,-149.2833,27.93,84,100,5.19,PF,1699675308
335,seven pagodas,12.6264,80.1722,30.03,64,33,6.34,IN,1699675292
336,paracuru,-3.41,-39.0306,27.28,75,8,6.89,BR,1699675308
337,nkove,-7.95,30.85,24.44,68,92,0.73,TZ,1699675308
338,srivardhan,18.0333,73.0167,28.83,60,60,1.99,IN,1699675308
339,kochenevo,55.0218,82.202,2.66,97,95,2.81,RU,1699675308
340,nhamunda,-2.1861,-56.7131,27.53,51,4,1.4,BR,1699675309
341,asau,46.4333,26.4,8.51,96,100,1.17,RO,1699675309
342,chipata,-13.6333,32.65,19.44,84,89,3.03,ZM,1699675309
343,arar,30.9753,41.0381,16.01,31,0,0.0,SA,1699675309
344,carnarvon,-24.8667,113.6333,21.59,70,3,8.9,AU,1699675213
345,howard springs,-12.497,131.047,32.95,54,49,3.0,AU,1699675309
346,bazarnyye mataki,54.8833,49.9333,2.79,83,83,8.49,RU,1699675310
347,nemuro,43.3236,145.575,5.01,49,37,11.55,JP,1699675310
348,antonio enes,-16.2325,39.9086,25.35,70,100,4.47,MZ,1699675310
349,thunder bay,48.4001,-89.3168,-0.01,74,100,2.06,CA,1699675242
350,tchintabaraden,15.8969,5.7985,23.94,14,71,4.36,NE,1699675310
351,cabinda,-5.55,12.2,25.08,94,75,3.09,AO,1699675311
352,sitka,57.0531,-135.33,6.94,81,100,4.12,US,1699675311
353,lovington,32.944,-103.3485,5.02,44,99,2.52,US,1699675311
354,machico,32.7,-16.7667,21.35,82,40,3.09,PT,1699675311
355,tralee,52.2704,-9.7026,8.59,80,87,0.78,IE,1699675311
356,armacao de buzios,-22.7469,-41.8817,23.03,93,25,2.33,BR,1699675311
357,mar del plata,-38.0023,-57.5575,16.08,79,100,17.43,AR,1699675311
358,lesnoy,57.6198,63.0784,4.01,93,100,3.75,RU,1699675312
359,shimoda,34.6667,138.95,16.2,67,98,6.61,JP,1699675312
360,fujinomiya,35.2167,138.6167,15.32,86,99,1.72,JP,1699675312
361,malanville,11.8685,3.3899,24.88,21,56,2.16,BJ,1699675312
